codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,Dia,Mes,Ano,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
50240,ACIDENTE,ITAQUI,RS,****,18/12/2013,18,12,2013,PTUHX,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,NENHUM,1
50246,ACIDENTE,TAPURAH,MT,****,18/12/2013,18,12,2013,PTUSM,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,PARTICULAR,FAZENDA BOA ESPERANÇA,FAZENDA PRIMAVERA,ESPECIALIZADA,DESTRUÍDA,0
50251,ACIDENTE,SANTO ANTÔNIO DO LEVERGER,MT,SWLV,18/12/2013,18,12,2013,PPGBR,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,MARECHAL RONDON,SANTO ANTÔNIO DE LEVERGER,CORRIDA APÓS POUSO,SUBSTANCIAL,0
50315,INCIDENTE GRAVE,PASSO FUNDO,RS,SBPF,18/12/2013,18,12,2013,PPGNQ,AVIÃO,AERO BOERO,AB-180,AB18,PISTÃO,MONOMOTOR,844,INSTRUÇÃO,AEROCLUBE DE PASSO FUNDO,LAURO KURTZ,CORRIDA APÓS POUSO,SUBSTANCIAL,0
50319,INCIDENTE,BRAGANÇA PAULISTA,SP,SBBP,18/12/2013,18,12,2013,PPHPA,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C-1,PAUL,PISTÃO,MONOMOTOR,660,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
50380,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,18/12/2013,18,12,2013,PTLKN,AVIÃO,BEECH AIRCRAFT,F33A,BE33,PISTÃO,MONOMOTOR,1542,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
50381,INCIDENTE,PRESIDENTE PRUDENTE,SP,SBDN,18/12/2013,18,12,2013,PRFTZ,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
50382,INCIDENTE,SANTARÉM,PA,SBSN,18/12/2013,18,12,2013,PPPTR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22500,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
50674,INCIDENTE,LONDRINA,PR,SBLO,18/12/2013,18,12,2013,PPFGM,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
50318,INCIDENTE GRAVE,BELO HORIZONTE,MG,SBPR,19/12/2013,19,12,2013,PTHLU,HELICÓPTERO,HELIBRAS,HB-350B,AS50,TURBOEIXO,MONOMOTOR,1950,INSTRUÇÃO,EFAI,CARLOS PRATES,MANOBRA,SUBSTANCIAL,0
50371,INCIDENTE,ARACAJU,SE,****,19/12/2013,19,12,2013,PRONQ,AVIÃO,AIRBUS INDUSTRIE,A318-121,A318,JATO,BIMOTOR,63000,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
50383,INCIDENTE,BELO HORIZONTE,MG,SBBH,19/12/2013,19,12,2013,PPSTF,AVIÃO,CESSNA AIRCRAFT,172N,C172,PISTÃO,MONOMOTOR,1043,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
50384,INCIDENTE,CAMPINAS,SP,****,19/12/2013,19,12,2013,PRAQD,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,NENHUM,0
50384,INCIDENTE,CAMPINAS,SP,****,19/12/2013,19,12,2013,PRAYK,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
50234,ACIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,20/12/2013,20,12,2013,PUZRM,ULTRALEVE,SERGIO MAURO,CP-750 BERYL,ULAC,PISTÃO,MONOMOTOR,750,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,SUBSTANCIAL,0
50654,INCIDENTE,PASSO FUNDO,RS,SBPF,21/12/2013,21,12,2013,PRFBU,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,4750,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,LEVE,0
50388,INCIDENTE,SÃO BERNARDO DO CAMPO,SP,****,22/12/2013,22,12,2013,PRDOM,HELICÓPTERO,BELL HELICOPTER,407,B407,TURBOEIXO,MONOMOTOR,2268,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
50389,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,23/12/2013,23,12,2013,PRBAB,AVIÃO,CIRRUS DESIGN,SR22,***,PISTÃO,MONOMOTOR,1633,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
50252,ACIDENTE,ROSÁRIO DO SUL,RS,****,26/12/2013,26,12,2013,PTGPJ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,IPAN,PISTÃO,MONOMOTOR,1800,AGRÍCOLA,ROSÁRIO DO SUL,ROSÁRIO DO SUL,ESPECIALIZADA,SUBSTANCIAL,0
50390,INCIDENTE,GUARULHOS,SP,SBGR,26/12/2013,26,12,2013,PPITY,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,3969,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
50434,INCIDENTE,SÃO PAULO,SP,SBMT,27/12/2013,27,12,2013,PPLRA,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
50433,INCIDENTE,BAIXO GUANDU,ES,SNBG,28/12/2013,28,12,2013,PPEOW,HELICÓPTERO,HELIBRAS,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,LEVE,0
50236,ACIDENTE,CANDEIAS DO JAMARI,RO,****,29/12/2013,29,12,2013,PUSPE,ULTRALEVE,***,PETREL,ULAC,PISTÃO,MONOMOTOR,500,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,SUBSTANCIAL,1
50435,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,29/12/2013,29,12,2013,PTAER,AVIÃO,CESSNA AIRCRAFT,170A,C170,PISTÃO,MONOMOTOR,998,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
50672,INCIDENTE,PARANAGUÁ,PR,SSPG,29/12/2013,29,12,2013,PRECB,HELICÓPTERO,EUROCOPTER FRANCE,EC 130 B4,EC30,TURBOEIXO,MONOMOTOR,2427,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
50673,INCIDENTE,CURITIBA,PR,SBBI,29/12/2013,29,12,2013,PTYZQ,HELICÓPTERO,BELL HELICOPTER,407,B407,TURBOEIXO,MONOMOTOR,2268,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,LEVE,0
50347,ACIDENTE,CARAZINHO,RS,SSKZ,30/12/2013,30,12,2013,PPGQW,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,CARAZINHO,FORA DE AERODROMO,ARREMETIDA NO SOLO,SUBSTANCIAL,0
50253,ACIDENTE,NOVA PONTE,MG,****,31/12/2013,31,12,2013,PTUVK,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,VOO A BAIXA ALTURA,SUBSTANCIAL,0
51087,INCIDENTE,MANAUS,AM,SWFN,02/01/2014,2,1,2014,PUHVL,ULTRALEVE,***,CORSARIO MK V,ULAC,PISTÃO,MONOMOTOR,550,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
52944,INCIDENTE,SÃO PAULO,SP,SBMT,02/01/2014,2,1,2014,PRSGA,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,PARTICULAR,GASTÃO MADEIRA,CAMPO DE MARTE,TÁXI,LEVE,0
50771,ACIDENTE,UBERABA,MG,****,03/01/2014,3,1,2014,PTUYV,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
51091,INCIDENTE,RIO DE JANEIRO,RJ,****,03/01/2014,3,1,2014,PRAYS,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
51092,INCIDENTE,MACAÉ,RJ,SBME,03/01/2014,3,1,2014,PRTKH,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-500,AT45,TURBOÉLICE,BIMOTOR,18600,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
52934,ACIDENTE,LAGOA FORMOSA,MG,****,03/01/2014,3,1,2014,PTGQN,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,DESTRUÍDA,1
51093,INCIDENTE,BELO HORIZONTE,MG,SBBH,04/01/2014,4,1,2014,PPWRV,AVIÃO,RAYTHEON AIRCRAFT,400A,BE40,JATO,BIMOTOR,7303,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
52936,ACIDENTE,SÃO JOSÉ DO XINGU,MT,****,04/01/2014,4,1,2014,PRPIC,AVIÃO,AIR TRACTOR,AT-502B,AT5T,TURBOÉLICE,MONOMOTOR,3629,PARTICULAR,FAZENDA VÔ ZECA,FAZENDA SÃO JOSÉ DAS REUNIDAS,CORRIDA APÓS POUSO,SUBSTANCIAL,0
52939,ACIDENTE,ITAQUI,RS,SSIQ,06/01/2014,6,1,2014,PTGQP,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,AGRÍCOLA,FORA DE AERODROMO,ITAQUI,ESPECIALIZADA,SUBSTANCIAL,0
52814,ACIDENTE,BOM JESUS,PI,SNGG,07/01/2014,7,1,2014,PTUME,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,PARTICULAR,GURGUÉIA,GURGUÉIA,ESPECIALIZADA,DESTRUÍDA,1
52937,ACIDENTE,PRIMAVERA DO LESTE,MT,****,07/01/2014,7,1,2014,PTBHF,AVIÃO,CESSNA AIRCRAFT,172A,C172,PISTÃO,MONOMOTOR,998,PARTICULAR,RONDONÓPOLIS,PRIMAVERA DO LESTE,CIRCUITO DE TRÁFEGO,SUBSTANCIAL,0
51439,INCIDENTE GRAVE,SANTARÉM,PA,SBSN,08/01/2014,8,1,2014,PPGSG,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
52938,ACIDENTE,LONDRINA,PR,SBLO,08/01/2014,8,1,2014,PPGMA,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,GOVERNADOR JOSÉ RICHA,GOVERNADOR JOSÉ RICHA,CORRIDA APÓS POUSO,SUBSTANCIAL,0
51094,INCIDENTE,SÃO LUÍS,MA,SBSL,09/01/2014,9,1,2014,PRJSR,AVIÃO,CESSNA AIRCRAFT,560XL,C56X,JATO,BIMOTOR,9072,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
51440,INCIDENTE GRAVE,RECIFE,PE,SBRF,09/01/2014,9,1,2014,PRSTJ,AVIÃO,ISRAEL AIRCRAFT,1124A,WW24,JATO,BIMOTOR,10660,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,LEVE,0
52935,ACIDENTE,SANTO ÂNGELO,RS,SBNM,09/01/2014,9,1,2014,PPGRU,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,SANTO ÂNGELO,SANTA ROSA,DECOLAGEM,SUBSTANCIAL,0
51095,INCIDENTE,RIO DE JANEIRO,RJ,****,10/01/2014,10,1,2014,PRRJJ,HELICÓPTERO,EUROCOPTER FRANCE,AS 355 NP,AS55,TURBOEIXO,BIMOTOR,2600,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,NENHUM,0
51096,INCIDENTE,RIO DE JANEIRO,RJ,****,10/01/2014,10,1,2014,PTHGB,HELICÓPTERO,BELL HELICOPTER,206B,B06,TURBOEIXO,MONOMOTOR,1451,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,LEVE,0
51097,INCIDENTE,PORTO ALEGRE,RS,****,10/01/2014,10,1,2014,PTMTT,AVIÃO,BOEING COMPANY,727-243,B722,JATO,TRIMOTOR,88360,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
51098,INCIDENTE,BRASÍLIA,DF,****,11/01/2014,11,1,2014,PPPJM,AVIÃO,EMBRAER,ERJ 190-100 LR,E190,TURBOEIXO,BIMOTOR,50300,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
52940,ACIDENTE,QUARTO CENTENÁRIO,PR,****,11/01/2014,11,1,2014,PTUDO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,AGRÍCOLA,SÃO LUIZ,FORA DE AERODROMO,ESPECIALIZADA,SUBSTANCIAL,0
50791,ACIDENTE,SANTA MARIA MADALENA,RJ,****,12/01/2014,12,1,2014,PPABW,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,621,INSTRUÇÃO,AVL,AVL,MANOBRA,DESTRUÍDA,0
51099,INCIDENTE,CABEDELO,PB,SNJO,12/01/2014,12,1,2014,PRRRP,AVIÃO,PIPER AIRCRAFT,PA-28R-201,P28R,PISTÃO,MONOMOTOR,1247,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,VOO A BAIXA ALTURA,NENHUM,0
52941,ACIDENTE,ITAITUBA,PA,SNXR,12/01/2014,12,1,2014,PRLAX,AVIÃO,PIPER AIRCRAFT,PA-46-500TP,P46T,TURBOÉLICE,MONOMOTOR,2310,PARTICULAR,FAZENDA CONFORTO,MUNDICO COELHO,DECOLAGEM,SUBSTANCIAL,0
51111,INCIDENTE,JOINVILLE,SC,SBJV,13/01/2014,13,1,2014,PREMI,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
50984,ACIDENTE,QUERÊNCIA DO NORTE,PR,****,14/01/2014,14,1,2014,PTUFB,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,SUBSTANCIAL,0
51072,INCIDENTE,CAPÃO DA CANOA,RS,SSKK,14/01/2014,14,1,2014,PPEHY,HELICÓPTERO,HELIBRAS,HB-350B,AS50,TURBOEIXO,MONOMOTOR,1950,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,NENHUM,0
51112,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,14/01/2014,14,1,2014,PTEPR,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
51131,INCIDENTE,BRASÍLIA,DF,SBBR,14/01/2014,14,1,2014,PTLSJ,AVIÃO,LEARJET,35A,LJ35,JATO,BIMOTOR,8165,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
51132,INCIDENTE,VITÓRIA,ES,SBVT,14/01/2014,14,1,2014,PRSHL,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,LEVE,0
51133,INCIDENTE,CAMPINAS,SP,****,15/01/2014,15,1,2014,PRAZC,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,JATO,BIMOTOR,51800,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
51134,INCIDENTE,BELÉM,PA,SBBE,16/01/2014,16,1,2014,PRAYL,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
51073,INCIDENTE,CABO FRIO,RJ,SBCB,17/01/2014,17,1,2014,PRFAR,HELICÓPTERO,AGUSTA,AB139,A139,TURBOEIXO,BIMOTOR,6800,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
51135,INCIDENTE,GUARULHOS,SP,SBGR,17/01/2014,17,1,2014,PRTKI,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22800,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
51137,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,17/01/2014,17,1,2014,PUBIK,ULTRALEVE,ESC RIB PRET DE PIL VEIC AUTOPROPULSADO,Bravo 700,ULAC,PISTÃO,MONOMOTOR,550,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,NENHUM,0
51139,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,18/01/2014,18,1,2014,PTAER,AVIÃO,CESSNA AIRCRAFT,170A,C170,PISTÃO,MONOMOTOR,998,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,NENHUM,0
51140,INCIDENTE,SÃO JOSÉ DO RIO PRETO,SP,SBSR,18/01/2014,18,1,2014,PRATZ,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
52942,ACIDENTE,MANAUS,AM,SWFN,18/01/2014,18,1,2014,PRRAU,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,PARTICULAR,BORBA,FLORES,POUSO,SUBSTANCIAL,0
50792,ACIDENTE,CAMPO GRANDE,MS,****,21/01/2014,21,1,2014,PTAVC,AVIÃO,CESSNA AIRCRAFT,150J,C150,PISTÃO,MONOMOTOR,725,INSTRUÇÃO,TERUEL IPANEMA ESTÂNCIA,FORA DE AERODROMO,ARREMETIDA NO AR,SUBSTANCIAL,0
51141,INCIDENTE,JUNDIAÍ,SP,SBJD,21/01/2014,21,1,2014,PREJB,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,758,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,ARREMETIDA NO SOLO,NENHUM,0
51418,INCIDENTE GRAVE,JOSÉ BONIFÁCIO,SP,****,21/01/2014,21,1,2014,PREJF,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1485,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,LEVE,0
51142,INCIDENTE,SÃO PAULO,SP,SBSP,22/01/2014,22,1,2014,PRMBE,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,77000,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,LEVE,0
51143,INCIDENTE,SÃO PAULO,SP,SBMT,22/01/2014,22,1,2014,PTJJB,AVIÃO,CESSNA AIRCRAFT,402B,C402,PISTÃO,BIMOTOR,2858,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
51144,INCIDENTE,RECIFE,PE,SBRF,23/01/2014,23,1,2014,PRJAI,AVIÃO,PIPER AIRCRAFT,PA-34-200T,PA34,PISTÃO,BIMOTOR,2073,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
51145,INCIDENTE,MUCURI,BA,SNMU,23/01/2014,23,1,2014,PTWHC,AVIÃO,BEECH AIRCRAFT,400A,BE40,JATO,BIMOTOR,7303,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,LEVE,0
51146,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,24/01/2014,24,1,2014,PTOTC,AVIÃO,RAYTHEON AIRCRAFT,BAE125-800B,H25B,JATO,BIMOTOR,12429,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
51147,INCIDENTE,CAXIAS DO SUL,RS,SBCX,24/01/2014,24,1,2014,PPGLE,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,LEVE,0
51148,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,24/01/2014,24,1,2014,PRFLM,AVIÃO,PIPER AIRCRAFT,PA-34-200,PA34,PISTÃO,BIMOTOR,1905,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,LEVE,0
51419,ACIDENTE,BOTUCATU,SP,****,24/01/2014,24,1,2014,PRZAL,AVIÃO,INPAER INDUSTRIA PAULISTA E AERONÁUTICA,EXPLORER,ZZZZ,PISTÃO,MONOMOTOR,1200,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,DESTRUÍDA,0
51149,INCIDENTE,RIO DE JANEIRO,RJ,****,25/01/2014,25,1,2014,PRAYH,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,TURBOEIXO,BIMOTOR,52290,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
51151,INCIDENTE,SÃO PAULO,SP,SBMT,26/01/2014,26,1,2014,PTVIZ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
51153,INCIDENTE,PIRACICABA,SP,SDPW,26/01/2014,26,1,2014,PPGGG,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,LEVE,0
50794,ACIDENTE,TURMALINA,MG,****,27/01/2014,27,1,2014,PTUBR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,SUBSTANCIAL,0
51154,INCIDENTE,PORTO ALEGRE,RS,SBPA,27/01/2014,27,1,2014,PRAQE,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
51768,INCIDENTE,BRASÍLIA,DF,SBBR,27/01/2014,27,1,2014,PRGIV,AVIÃO,BOEING COMPANY,737-86N,B738,JATO,BIMOTOR,70533,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,LEVE,0
51155,INCIDENTE,VITÓRIA,ES,SBVT,28/01/2014,28,1,2014,PRLCH,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,NENHUM,0
50797,ACIDENTE,CACHOEIRA DO SUL,RS,SSKS,29/01/2014,29,1,2014,PPDFW,AVIÃO,CESSNA AIRCRAFT,140,C140,PISTÃO,MONOMOTOR,658,INSTRUÇÃO,CACHOEIRA DO SUL,CACHOEIRA DO SUL,CIRCUITO DE TRÁFEGO,NENHUM,2
51015,INCIDENTE GRAVE,GUARUJÁ,SP,SBST,29/01/2014,29,1,2014,PTWGV,AVIÃO,CESSNA AIRCRAFT,150M,C150,PISTÃO,MONOMOTOR,726,INSTRUÇÃO,PROFESSOR URBANO ERNESTO STUMPF,ITANHAÉM,MANOBRA,NENHUM,0
51156,INCIDENTE,GOIÂNIA,GO,SBGO,30/01/2014,30,1,2014,PPJBP,AVIÃO,HAWKER BEECHCRAFT,C90GTI,BE9L,TURBOÉLICE,BIMOTOR,4581,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
51157,INCIDENTE,FORTALEZA,CE,SBFZ,30/01/2014,30,1,2014,PPKGN,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
51158,INCIDENTE,RIO BRANCO,AC,SBRB,30/01/2014,30,1,2014,PTOBL,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
51420,ACIDENTE,ITANHAÉM,SP,****,30/01/2014,30,1,2014,PRZNP,AVIÃO,ROBERT MOHR,PITTS SPECIAL,ZZZZ,PISTÃO,MONOMOTOR,522,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,VOO A BAIXA ALTURA,NENHUM,0
50799,ACIDENTE,UNAÍ,MG,SNUN,31/01/2014,31,1,2014,PTVZT,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,SUBSTANCIAL,0
