codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,Dia,Mes,Ano,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
46445,INCIDENTE GRAVE,CATANDUVA,SP,SDCD,07/10/2012,7,10,2012,PTELG,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,PARTICULAR,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,CATANDUVA,POUSO,SUBSTANCIAL,0
46432,ACIDENTE,SANTA CRUZ DO ARARI,PA,****,08/10/2012,8,10,2012,PTNRK,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711B,P28R,PISTÃO,MONOMOTOR,1248,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,SUBSTANCIAL,0
46475,INCIDENTE,CAMPO GRANDE,MS,SBCG,09/10/2012,9,10,2012,PRFPM,HELICÓPTERO,EUROCOPTER FRANCE,EC 120 B,EC20,TURBOEIXO,MONOMOTOR,1715,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,NENHUM,0
46481,INCIDENTE,BELO HORIZONTE,MG,SBBH,09/10/2012,9,10,2012,PTVGD,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46433,INCIDENTE,MARICÁ,RJ,****,10/10/2012,10,10,2012,PRFLI,AVIÃO,PIPER AIRCRAFT,PA-34-200T,PA34,PISTÃO,BIMOTOR,2073,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,NENHUM,0
46449,ACIDENTE,PORTO ALEGRE,RS,SBPA,10/10/2012,10,10,2012,PRPNM,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,4750,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
46471,INCIDENTE,CARAUARI,AM,SWCA,10/10/2012,10,10,2012,PRHRU,HELICÓPTERO,SIKORSKY AIRCRAFT,S-61N,S61,TURBOEIXO,BIMOTOR,8618,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
46472,INCIDENTE,JOÃO PESSOA,PB,SBJP,10/10/2012,10,10,2012,PPAML,AVIÃO,RAYTHEON AIRCRAFT,400A,BE40,JATO,BIMOTOR,7303,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46448,INCIDENTE GRAVE,CALDAS NOVAS,GO,****,11/10/2012,11,10,2012,PPKBP,AVIÃO,XAVANTE,A-122-B,A122,PISTÃO,MONOMOTOR,840,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
46484,INCIDENTE,BRASÍLIA,DF,SBBR,11/10/2012,11,10,2012,PPMVT,AVIÃO,PILATUS,PC-12/47E,PC12,TURBOÉLICE,MONOMOTOR,4740,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46696,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,11/10/2012,11,10,2012,PRJAR,HELICÓPTERO,SIKORSKY AIRCRAFT,S-92A,S92,TURBOEIXO,BIMOTOR,12020,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
46431,ACIDENTE,CAMPINAS,SP,SBKP,13/10/2012,13,10,2012,N988AR,AVIÃO,MCDONNELL DOUGLAS,MD11,***,JATO,TRIMOTOR,285990,***,MIAMI INTERNATIONAL AIRPORT,VIRACOPOS,POUSO,SUBSTANCIAL,0
46571,ACIDENTE,LONDRINA,PR,****,13/10/2012,13,10,2012,PUDGM,ULTRALEVE,***,FOX VECTOR V6,ULAC,PISTÃO,MONOMOTOR,420,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,DESTRUÍDA,1
46594,INCIDENTE GRAVE,POÇOS DE CALDAS,MG,SBPC,13/10/2012,13,10,2012,PPKBO,AVIÃO,XAVANTE,A-122-B,A122,PISTÃO,MONOMOTOR,840,INSTRUÇÃO,EMBAIXADOR WALTHER MOREIRA SALLES,FORA DE AERODROMO,POUSO,SUBSTANCIAL,0
46485,INCIDENTE,PORTO SEGURO,BA,SBPS,14/10/2012,14,10,2012,PPPTI,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-320,AT43,TURBOÉLICE,BIMOTOR,16900,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
46486,INCIDENTE,TERESINA,PI,SBTE,14/10/2012,14,10,2012,PRMON,AVIÃO,CESSNA AIRCRAFT,525B,C25B,JATO,BIMOTOR,6291,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
50712,ACIDENTE,AMERICANA,SP,SDAI,14/10/2012,14,10,2012,PUBOK,ULTRALEVE,***,KR-2,ULAC,PISTÃO,MONOMOTOR,490,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,DESTRUÍDA,2
46613,INCIDENTE,SÃO PAULO,SP,SBMT,15/10/2012,15,10,2012,PREXP,AVIÃO,CESSNA AIRCRAFT,525,C525,JATO,BIMOTOR,4717,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,LEVE,0
46487,INCIDENTE,BRASÍLIA,DF,SBBR,16/10/2012,16,10,2012,PTLSJ,AVIÃO,LEARJET,35A,LJ35,JATO,BIMOTOR,8165,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
46650,INCIDENTE,CAMPINAS,SP,SBKP,17/10/2012,17,10,2012,PRAZA,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,TURBOEIXO,BIMOTOR,51800,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NENHUM,0
46674,INCIDENTE,RONDONÓPOLIS,MT,SWRD,17/10/2012,17,10,2012,PPPJD,AVIÃO,EMBRAER,ERJ 170-200 LR,E170,JATO,BIMOTOR,38790,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
46581,ACIDENTE,CAMPINA GRANDE DO SUL,PR,****,18/10/2012,18,10,2012,PPZBI,ULTRALEVE,***,EAGLE II,ULAC,PISTÃO,MONOMOTOR,525,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,DESTRUÍDA,2
46514,ACIDENTE,CAMPO GRANDE,MS,****,20/10/2012,20,10,2012,PTAVD,AVIÃO,CESSNA AIRCRAFT,150J,C150,PISTÃO,MONOMOTOR,726,INSTRUÇÃO,FORA DE AERODROMO,TERUEL IPANEMA ESTÂNCIA,DECOLAGEM,SUBSTANCIAL,0
46648,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,20/10/2012,20,10,2012,PRAYS,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
46649,INCIDENTE,CAMPINAS,SP,****,20/10/2012,20,10,2012,PRAZE,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,JATO,BIMOTOR,51800,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
46625,INCIDENTE,PALMAS,TO,SBPJ,21/10/2012,21,10,2012,PTYZD,HELICÓPTERO,BELL HELICOPTER,407,B407,TURBOEIXO,MONOMOTOR,2268,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,NENHUM,0
46577,INCIDENTE,CAMETÁ,PA,****,22/10/2012,22,10,2012,PTKHC,AVIÃO,CESSNA AIRCRAFT,172M,C172,PISTÃO,MONOMOTOR,1043,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,LEVE,0
46513,ACIDENTE,SÃO SEBASTIÃO DA BOA VISTA,PA,****,23/10/2012,23,10,2012,PTJBL,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1724,TÁXI AÉREO,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,BREVES,POUSO,SUBSTANCIAL,0
46647,INCIDENTE,PORTO ALEGRE,RS,SBPA,23/10/2012,23,10,2012,PRAZF,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,JATO,BIMOTOR,51800,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
46497,ACIDENTE,PORTO ALEGRE,RS,SSBN,24/10/2012,24,10,2012,PPMAQ,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,621,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,SUBSTANCIAL,0
46574,INCIDENTE,BRASÍLIA,DF,SBBR,24/10/2012,24,10,2012,PRWJD,AVIÃO,BOEING COMPANY,737-3Y0,B733,JATO,BIMOTOR,62282,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
46498,ACIDENTE,SENTO SÉ,BA,****,25/10/2012,25,10,2012,PRMPL,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,1134,MÚLTIPLA,SENADOR NILO COELHO,FORA DE AERODROMO,CRUZEIRO,SUBSTANCIAL,0
46512,ACIDENTE,JABOTICABAL,SP,****,25/10/2012,25,10,2012,PRFSW,AVIÃO,BEECH AIRCRAFT,D55,BE55,PISTÃO,BIMOTOR,2404,PARTICULAR,VERA CRUZ,BARTOLOMEU DE GUSMÃO,CRUZEIRO,LEVE,0
46675,INCIDENTE,VITÓRIA DA CONQUISTA,BA,SBQV,25/10/2012,25,10,2012,PRPDC,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
46676,INCIDENTE,CARLOS CHAGAS,MG,****,25/10/2012,25,10,2012,PRMHM,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
52069,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,25/10/2012,25,10,2012,PROMJ,HELICÓPTERO,AGUSTA,AW139,A139,TURBOEIXO,BIMOTOR,6800,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,PAIRADO,NENHUM,0
46698,INCIDENTE,CABO FRIO,RJ,SBCB,26/10/2012,26,10,2012,PRBGB,HELICÓPTERO,SIKORSKY AIRCRAFT,S-92A,S92,TURBOEIXO,BIMOTOR,12020,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
46499,ACIDENTE,CAMPINA VERDE,MG,****,27/10/2012,27,10,2012,PTRLJ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,1157,PARTICULAR,TITO TEIXEIRA,CAMPINA VERDE,DESCIDA,SUBSTANCIAL,0
46624,INCIDENTE,GOIÂNIA,GO,SBGO,27/10/2012,27,10,2012,PROTG,AVIÃO,HAWKER BEECHCRAFT,B300,B350,TURBOÉLICE,BIMOTOR,6804,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,NENHUM,0
46639,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,27/10/2012,27,10,2012,PPWIN,AVIÃO,LEARJET,60,LJ60,JATO,BIMOTOR,10660,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,LEVE,0
46677,INCIDENTE,GUARULHOS,SP,SBGR,27/10/2012,27,10,2012,PRMAV,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,77000,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
52070,INCIDENTE,RIO BRANCO,AC,SBRB,27/10/2012,27,10,2012,PTEZJ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PA32,PISTÃO,MONOMOTOR,1542,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,NENHUM,0
46576,INCIDENTE GRAVE,IPATINGA,MG,SBIP,28/10/2012,28,10,2012,PRTTK,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-500,AT45,TURBOÉLICE,BIMOTOR,18600,REGULAR,AEROPORTO DE IPATINGA - MG,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,DECOLAGEM,NENHUM,0
46679,INCIDENTE,SANTANA DO ARAGUAIA,PA,SNKE,28/10/2012,28,10,2012,PTVJN,AVIÃO,EMBRAER,EMB-810D,PA34,PISTÃO,BIMOTOR,2073,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,LEVE,0
46575,INCIDENTE,RECIFE,PE,SBRF,29/10/2012,29,10,2012,PRWJD,AVIÃO,BOEING COMPANY,737-3Y0,B733,JATO,BIMOTOR,62282,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,NENHUM,0
46699,INCIDENTE,MACAÉ,RJ,****,29/10/2012,29,10,2012,PRMEU,HELICÓPTERO,EUROCOPTER DEUTSCHLAND,EC 135P2+,EC35,TURBOEIXO,BIMOTOR,2910,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
46822,INCIDENTE,ROSÁRIO OESTE,MT,****,29/10/2012,29,10,2012,CP2662,AVIÃO,CESSNA AIRCRAFT,U206C,***,PISTÃO,MONOMOTOR,0,***,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,LEVE,0
46496,ACIDENTE,SOROCABA,SP,****,31/10/2012,31,10,2012,PTHNE,HELICÓPTERO,HELIBRAS,HB-350B,AS50,TURBOEIXO,MONOMOTOR,1950,PARTICULAR,SOROCABA,CIA. BRASILEIRA DE ALUMÍNIO,POUSO,SUBSTANCIAL,0
46562,ACIDENTE,CANARANA,MT,****,31/10/2012,31,10,2012,PRLGA,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1497,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,DESTRUÍDA,0
46582,ACIDENTE,CHAPADA DOS GUIMARÃES,MT,****,01/11/2012,1,11,2012,PTVRV,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,PARTICULAR,CONFRESA,MARECHAL RONDON,CRUZEIRO,DESTRUÍDA,4
