codigo_ocorrencia1,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,Dia,Mes,Ano
41571,INCIDENTE,SÃO PAULO,SP,****,17/06/2010,17,06,2010
41854,INCIDENTE,SALVADOR,BA,SBSV,17/06/2010,17,06,2010
41915,INCIDENTE,SALVADOR,BA,****,18/06/2010,18,06,2010
41678,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,19/06/2010,19,06,2010
41680,INCIDENTE,BELO HORIZONTE,MG,****,19/06/2010,19,06,2010
42011,INCIDENTE,RIO DE JANEIRO,RJ,****,19/06/2010,19,06,2010
41655,INCIDENTE,SÃO PAULO,SP,SBMT,20/06/2010,20,06,2010
41664,INCIDENTE,BRASÍLIA,DF,SBBR,21/06/2010,21,06,2010
41684,INCIDENTE,BRASÍLIA,DF,****,21/06/2010,21,06,2010
41840,INCIDENTE,SALVADOR,BA,****,23/06/2010,23,06,2010
41609,INCIDENTE,ARACAJU,SE,SBAR,24/06/2010,24,06,2010
41729,ACIDENTE,RIO DE JANEIRO,RJ,****,25/06/2010,25,06,2010
41852,INCIDENTE,GUARULHOS,SP,SBGR,25/06/2010,25,06,2010
41910,INCIDENTE,NAVEGANTES,SC,SBNF,25/06/2010,25,06,2010
41672,INCIDENTE,RIBEIRÃO PRETO,SP,****,27/06/2010,27,06,2010
41898,INCIDENTE GRAVE,SANTO ÂNGELO,RS,****,27/06/2010,27,06,2010
41909,INCIDENTE,COARI,AM,****,27/06/2010,27,06,2010
42009,INCIDENTE,CARAUARI,AM,****,27/06/2010,27,06,2010
41670,INCIDENTE GRAVE,IPATINGA,MG,****,28/06/2010,28,06,2010
41829,ACIDENTE,JUNDIAÍ,SP,SBJD,29/06/2010,29,06,2010
42012,INCIDENTE,CAMPINAS,SP,SBKP,30/06/2010,30,06,2010
41913,INCIDENTE,SALVADOR,BA,SBSV,02/07/2010,02,07,2010
41991,INCIDENTE,GUARULHOS,SP,SBGR,02/07/2010,02,07,2010
41749,ACIDENTE,RECIFE,PE,SBRF,04/07/2010,04,07,2010
41902,INCIDENTE,BRASÍLIA,DF,****,04/07/2010,04,07,2010
41832,INCIDENTE GRAVE,RONDONÓPOLIS,MT,****,05/07/2010,05,07,2010
41845,INCIDENTE,UBERLÂNDIA,MG,SBUL,05/07/2010,05,07,2010
42232,INCIDENTE,BRASÍLIA,DF,SBBR,05/07/2010,05,07,2010
41914,INCIDENTE,MARÍLIA,SP,SBML,07/07/2010,07,07,2010
41985,INCIDENTE,ITAJAÍ,SC,****,07/07/2010,07,07,2010
41984,INCIDENTE,GOIÂNIA,GO,****,08/07/2010,08,07,2010
42429,INCIDENTE,PORTO ALEGRE,RS,SBPA,09/07/2010,09,07,2010
41751,ACIDENTE,CAMANDUCAIA,MG,****,10/07/2010,10,07,2010
41789,ACIDENTE,PAÇO DO LUMIAR,MA,****,10/07/2010,10,07,2010
41834,INCIDENTE GRAVE,PONTA GROSSA,PR,SSZW,10/07/2010,10,07,2010
42039,INCIDENTE,LINHARES,ES,****,10/07/2010,10,07,2010
41837,INCIDENTE,OLINDA,PE,****,11/07/2010,11,07,2010
41750,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,12/07/2010,12,07,2010
41844,INCIDENTE,SALVADOR,BA,SBSV,12/07/2010,12,07,2010
41904,INCIDENTE,CAMPO LIMPO DE GOIÁS,GO,****,14/07/2010,14,07,2010
41994,INCIDENTE,RONDONÓPOLIS,MT,SWRD,14/07/2010,14,07,2010
41850,INCIDENTE GRAVE,PALMAS,TO,SBPJ,15/07/2010,15,07,2010
41899,INCIDENTE,LONDRINA,PR,SBLO,16/07/2010,16,07,2010
41900,ACIDENTE,NOVO HORIZONTE,SP,****,16/07/2010,16,07,2010
41916,ACIDENTE,SANTO ANTÔNIO DO LEVERGER,MT,SWLV,18/07/2010,18,07,2010
41917,ACIDENTE,BRASÍLIA,DF,SSGP,19/07/2010,19,07,2010
41960,ACIDENTE,PALMAS,TO,****,20/07/2010,20,07,2010
42067,INCIDENTE,RIO DE JANEIRO,RJ,****,20/07/2010,20,07,2010
41973,INCIDENTE,BRASÍLIA,DF,****,21/07/2010,21,07,2010
42068,INCIDENTE,SALVADOR,BA,SBSV,21/07/2010,21,07,2010
42073,INCIDENTE,SALVADOR,BA,SBSV,21/07/2010,21,07,2010
42614,INCIDENTE,NAVEGANTES,SC,SBNF,21/07/2010,21,07,2010
42618,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,21/07/2010,21,07,2010
41976,INCIDENTE,RIO BRANCO,AC,****,23/07/2010,23,07,2010
42001,ACIDENTE,BOITUVA,SP,SDOI,24/07/2010,24,07,2010
42071,ACIDENTE,AFUÁ,PA,****,24/07/2010,24,07,2010
42387,ACIDENTE,MATINHA,MA,****,24/07/2010,24,07,2010
43091,ACIDENTE,JOINVILLE,SC,SBJV,25/07/2010,25,07,2010
42038,INCIDENTE,CARUARU,PE,****,26/07/2010,26,07,2010
42634,INCIDENTE,RIO DE JANEIRO,RJ,****,28/07/2010,28,07,2010
42289,INCIDENTE GRAVE,SÃO PAULO,SP,SBMT,29/07/2010,29,07,2010
42436,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,29/07/2010,29,07,2010
42367,INCIDENTE,NORMANDIA,RR,****,30/07/2010,30,07,2010
42619,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,30/07/2010,30,07,2010
42638,INCIDENTE,SÃO PAULO,SP,SBMT,30/07/2010,30,07,2010
