codigo_reporte;nome_especie;especie_especie;tamanho_sugerido
5357;Não identificado;Não identificado;M
5359;Urubus;Família Cathartidae;MG
5361;Não identificado;Não identificado;M
5363;Urubus;Família Cathartidae;MG
5365;Carcará/carancho;(Caracara plancus);G
5367;Quero-quero/tetéu;(Vanellus chilensis);M
5369;Urubus;Família Cathartidae;MG
5371;Corujas;Família Strigidae;
5373;Não identificado;Não identificado;P
5375;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5377;xx Outros (cachorro doméstico) > 1,5 kg;xx Outros (cachorro doméstico) > 1,5 kg;MG
5379;Urubus;Família Cathartidae;MG
5381;Urubus;Família Cathartidae;MG
5383;Urubus;Família Cathartidae;MG
5385;Urubu-de-cabeça-preta/corvo/apitã;(Coragyps atratus);MG
5387;Quero-quero/tetéu;(Vanellus chilensis);M
5389;Urubus;Família Cathartidae;MG
5391;Quero-quero/tetéu;(Vanellus chilensis);M
5393;Urubus;Família Cathartidae;MG
5395;Urubus;Família Cathartidae;0
5397;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
5399;Não identificado;Não identificado;M
5401;Coruja-da-igreja/rasga-mortalha/suindara;(Tyto furcata);M
5403;Não identificado;Não identificado;M
5407;Não identificado;Não identificado;M
5409;Quero-quero/tetéu;(Vanellus chilensis);M
5413;Urubus;Família Cathartidae;MG
5415;Corujinha-do-mato/caboré-de-orelha;(Megascops choliba);P
5417;Quero-quero/tetéu;(Vanellus chilensis);M
5419;Quero-quero/tetéu;(Vanellus chilensis);M
5421;Garças;Família Ardeidae;0
5423;Garças;Família Ardeidae;
5425;Quero-quero/tetéu;(Vanellus chilensis);M
5429;Urubus;Família Cathartidae;MG
5431;Falcão-peregrino;(Falco peregrinus);G
5433;Gaivotas;Família  Laridae;
5435;Urubus;Família Cathartidae;MG
5437;Carcará/carancho;(Caracara plancus);G
5439;Urubus;Família Cathartidae;MG
5443;Urubus;Família Cathartidae;MG
5445;Não identificado;Não identificado;M
5447;Não identificado;Não identificado;M
5451;Quero-quero/tetéu;(Vanellus chilensis);M
5453;Urubus;Família Cathartidae;MG
5459;Garça-vaqueira/cunacoi/boiadeira;(Bubulcus ibis);M
5461;Corucão/tabaco-bom;(Chordeiles nacunda);P
5463;Falcão-de-coleira/gavião-pombo/cauré;(Falco femoralis);M
5465;Quero-quero/tetéu;(Vanellus chilensis);M
5469;Não identificado;Não identificado;
5471;Não identificado;Não identificado;MP
5473;Quero-quero/tetéu;(Vanellus chilensis);M
5475;Carcará/carancho;(Caracara plancus);G
5477;Urubu-de-cabeça-vermelha;(Cathartes aura);G
5479;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5483;Urubus;Família Cathartidae;MG
5485;Carrapateiro/caracaraí;(Milvago chimachima);M
5487;Quero-quero/tetéu;(Vanellus chilensis);M
5489;Pombos / Rolinhas;Família Columbidae;P
5491;Não identificado;Não identificado;M
5493;Quero-quero/tetéu;(Vanellus chilensis);M
5495;xx Outros (répteis > 1,5 kg);xx Outros (répteis > 1,5 kg);MG
5497;Não identificado;Não identificado;M
5499;Corucão/tabaco-bom;(Chordeiles nacunda);P
5501;Quero-quero/tetéu;(Vanellus chilensis);M
5503;Quero-quero/tetéu;(Vanellus chilensis);M
5505;Urubus;Família Cathartidae;MG
5507;Quero-quero/tetéu;(Vanellus chilensis);M
5509;Andorinhas;família Hirundinidae;MP
5511;Urubus;Família Cathartidae;MG
5517;Quero-quero/tetéu;(Vanellus chilensis);M
5521;Urubus;Família Cathartidae;MG
5523;Não identificado;Não identificado;P
5525;Quero-quero/tetéu;(Vanellus chilensis);M
5527;Coruja -buraqueira;(Athene cunicularia);MP
5529;Garça-branca-pequena;(Egretta thula);M
5531;Garças;Família Ardeidae;
5533;Carcará/carancho;(Caracara plancus);G
5535;xx Outros (cachorro selvagem) > 1,5 kg;xx Outros (cachorro selvagem) > 1,5 kg;MG
5537;xx Outros (cachorro selvagem) > 1,5 kg;xx Outros (cachorro selvagem) > 1,5 kg;MG
5541;Quero-quero/tetéu;(Vanellus chilensis);M
5543;Não identificado;Não identificado;
5547;Não identificado;Não identificado;MP
5549;Fragata/tesourão (Fregata;(Fregata magnificens);G
5551;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);P
5553;Coruja-da-igreja/rasga-mortalha/suindara;(Tyto furcata);M
5555;Corucão/tabaco-bom;(Chordeiles nacunda);P
5557;Quero-quero/tetéu;(Vanellus chilensis);M
5559;Coruja -buraqueira;(Athene cunicularia);P
5561;Gaivotas;Família  Laridae;
5567;Curicacas/Tapicurus;Família Threskiornithidae;
5569;Curicacas/Tapicurus;Família Threskiornithidae;
5577;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5579;Garça-branca-grande;(Ardea alba);MG
5581;Pombo-doméstico;(Columba livia);P
5583;Garça-vaqueira/cunacoi/boiadeira;(Bubulcus ibis);M
5587;Urubu-de-cabeça-preta/corvo/apitã;(Coragyps atratus);MG
5589;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5593;Quero-quero/tetéu;(Vanellus chilensis);M
5599;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
5601;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5603;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;xx Outros (cachorro doméstico OU selvagem) > 1,5 kg;MG
5605;Quero-quero/tetéu;(Vanellus chilensis);M
5607;Andorinha-doméstica-grande;(Progne chalybea);MP
5609;Corujas;Família Strigidae;
5613;Não identificado;Não identificado;M
5615;Urubus;Família Cathartidae;MG
5617;Urubus;Família Cathartidae;MG
5619;Quero-quero/tetéu;(Vanellus chilensis);M
5621;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
5623;Gaivotas;Família  Laridae;M
5623;Urubus;Família Cathartidae;MG
5631;Quero-quero/tetéu;(Vanellus chilensis);M
5633;Quero-quero/tetéu;(Vanellus chilensis);M
5635;Quero-quero/tetéu;(Vanellus chilensis);M
5637;Quero-quero/tetéu;(Vanellus chilensis);M
5639;Quero-quero/tetéu;(Vanellus chilensis);M
5645;Carcará/carancho;(Caracara plancus);G
5649;Carcará/carancho;(Caracara plancus);G
5651;Urubus;Família Cathartidae;MG
5653;Quero-quero/tetéu;(Vanellus chilensis);M
5655;Garças;Família Ardeidae;M
5657;Urubus;Família Cathartidae;MG
5659;Não identificado;Não identificado;MP
5661;Não identificado;Não identificado;M
5663;Não identificado;Não identificado;
